V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
-0.260647805,-0.46964845,2.496266083,-0.083723913,0.129681236,0.73289825,0.519013618,-0.130006048,0.727159269,0.637734541,-0.98702001,0.2934381,-0.941386125,0.549019894,1.804878578,0.215597994,0.512306661,0.333643717,0.124270156,0.091201899,-0.11055168,0.217606144,-0.134794495,0.165959115,0.126279976,-0.434823981,-0.081230109,-0.151045486,17982.1,0
0.985099734,-0.356045093,0.558056351,-0.429653903,0.277140263,0.428604515,0.406466042,-0.133118274,0.347451895,0.529807984,0.140107331,1.564245768,0.574074012,0.627718737,0.706121327,0.789188365,0.403809882,0.201799372,-0.340687099,-0.233984156,-0.194935964,-0.605760906,0.079469076,-0.577394874,0.190089708,0.296502704,-0.248052059,-0.064511923,6531.37,0
-0.260271613,-0.949384607,1.728537776,-0.457986289,0.074061654,1.419481143,0.743511075,-0.095576013,-0.261296619,0.6907078,-0.272984925,0.659200664,0.805173189,0.616874386,3.069024774,-0.577513522,0.886525968,0.239441661,-2.366078928,0.36165231,-0.005020278,0.702906385,0.945045491,-1.154665629,-0.605563661,-0.312894548,-0.300258035,-0.244718229,2513.54,0
-0.152152102,-0.508958708,1.746840059,-1.090177942,0.249485773,1.143312263,0.518268573,-0.065129917,-0.205697605,0.57523071,-0.75258096,0.737482957,0.592993668,0.559534989,-0.697663715,-0.030668984,0.242629166,2.178616,-1.34506023,-0.378223348,-0.146927137,-0.038212458,-0.21404819,-1.893131105,1.003963106,-0.515950259,-0.16531649,0.048423626,5384.44,0
-0.206819521,-0.165280204,1.527052678,-0.448292663,0.106125114,0.530548862,0.658849134,-0.212660011,1.049920839,0.968046108,-1.203171107,1.029577424,1.439310226,0.241453999,0.153007854,0.224538129,0.366466196,0.291781553,0.445316709,0.247237013,-0.106984018,0.729727387,-0.161665704,0.31256101,-0.414116194,1.071125586,0.023711599,0.419117267,14278.97,0
0.025302292,-0.140513811,1.191137773,-0.707978812,0.430490321,0.458973192,0.611049587,-0.092628606,0.180811357,0.45178842,0.036071305,0.877238898,-0.289721143,0.630992452,0.56020086,0.741131551,0.421766319,0.362503889,-0.242748847,-0.076400297,-0.187739355,-0.538518113,-0.050464986,-0.631553062,-0.456479962,0.25266987,0.06668093,0.095811507,6901.49,0
1.016481734,-0.397180539,0.49786769,-0.144462794,0.331021824,0.629242769,0.431262449,-0.134007452,0.796159029,0.557014661,-1.735015952,0.523424766,-0.693621723,0.796567128,0.011267594,0.228270034,0.441583859,-0.03292759,-0.253447374,-0.390342618,-0.171137288,-0.287017061,-0.17819669,-1.29759715,1.182502884,-0.604227947,-0.198163307,-0.087619339,18954.45,0
-0.051306085,-0.007194479,1.1399409,-0.877879902,0.684667783,0.714326111,0.892615116,-0.908409142,0.901938334,1.258025378,-1.039421346,0.822748561,1.853520977,0.17663708,0.769513902,0.42040335,0.112419206,0.101155507,0.058924621,-0.324757932,0.620676249,-0.920425716,0.034660376,-1.091526763,-0.742074798,-0.104862684,-1.382521765,-2.748267826,12298.23,0
-0.13068043,-0.349546897,0.42578634,-0.760444058,1.702777431,2.324816017,0.56896842,0.049099675,0.273117718,0.437517912,-1.107171842,0.548485169,-0.216077532,0.742616389,-0.394408337,0.345912885,0.291579808,0.397062605,0.259345104,-0.109163816,-0.132787374,-0.284700419,-0.227778825,2.248754184,0.534846027,-0.92973825,-0.224384854,0.243789808,22052.9,0
0.058419399,-0.093506892,1.117270141,-0.735171762,0.46611117,0.332371394,0.683424727,-0.136674273,0.096409445,0.45346863,-0.096411674,1.316902402,1.097693277,0.491384468,0.124451432,1.018495752,0.280403731,0.668090731,0.163293593,0.043428301,-0.203634353,-0.601580958,-0.145082252,-0.654782673,-0.196620797,0.226818254,0.057119077,0.100629267,210.35,0
1.206014216,-0.883519267,1.021299305,-1.410046825,-0.341590727,0.101490928,0.036318183,-0.141480335,-0.348832472,1.499437497,-0.020663274,0.270369735,-0.449711041,0.652047585,0.21755349,0.485169456,0.528776754,0.996338124,-0.407218557,-0.566847649,-0.106932275,0.252150942,0.004349589,1.065933257,0.3300998,-0.289690733,-0.188490496,-0.060815003,4741.71,0
0.409313504,-0.24506303,0.152566474,-0.671316186,1.87409079,2.139538755,0.608736251,-0.026861674,0.185819355,0.738974027,-0.774818309,0.430676316,-0.015288919,0.919363762,1.080267683,0.390025732,0.210613829,0.575222209,0.369329031,-0.034850042,-0.083221922,0.180020852,-0.014540229,2.212669963,-1.28026144,-1.216545822,-0.188928824,-0.231607762,14574.34,0
1.033525323,-0.901634474,0.676979519,-1.319313114,-0.2159996,0.02472547,0.222964783,-0.203209681,-0.501905349,1.304234288,-0.475219251,0.47432661,1.297899348,0.546119116,0.819410773,0.064728758,0.779630298,-0.14742382,-0.82558498,-0.2687627,-0.197417102,-0.472722068,0.062429736,0.832732304,0.18010165,-0.853823466,-0.207514113,0.002435652,21696.89,0
0.886031292,-0.349039462,0.960931008,0.333001166,0.186378913,0.664915858,0.400542231,-0.126042237,0.366588618,0.81328271,-1.162663778,0.847887754,0.065365556,0.610802131,-0.721222656,0.351359621,0.482627557,-0.208334487,-1.106389229,-0.321072643,-0.118027104,0.025737568,-0.095726959,0.240107015,0.833119762,0.248659867,-0.213189512,-0.048630409,12157.97,0
-0.5715441,-0.559877363,1.609161136,0.045297299,0.201711532,0.916651073,0.298916287,-0.549311394,1.003897203,1.198009314,-0.171748076,1.272551555,0.453695707,0.375795192,0.425642269,0.297392648,0.391061613,0.926942977,1.516314985,-1.881388449,0.336079212,0.164590739,1.06887787,0.091185173,-0.45640495,-0.549904015,-0.41974243,-0.173067278,508.29,0
-0.086617762,-0.330395032,1.99968758,-1.471096102,-0.125745307,0.431216029,0.245434696,-0.151661493,0.249682672,0.965107954,-1.179332592,0.229300933,1.138837405,0.258969794,1.314543405,1.964326851,0.353964227,0.067324577,0.147604021,0.103227982,0.092246648,1.303174162,-0.279238128,-0.085705134,-0.147291495,-0.188378808,-0.437041513,0.212409822,23472.79,0
0.913001365,-0.458442037,1.290940391,-0.114322881,-0.000387035,0.637718407,0.251780189,-0.109118569,1.023578627,0.490541025,-0.910983049,1.422503337,0.796157378,0.480842778,0.363133892,0.326548551,0.43762815,-0.024795429,-0.726528311,-0.280308495,-0.113088249,0.139784657,-0.009802868,0.238163513,0.519795508,-0.92478178,-0.129882813,-0.010544765,6685.98,0
0.021273385,-0.15291905,1.029029283,-1.0103027,0.667717841,0.402170396,0.707260387,-0.132463884,0.131919279,0.324208149,-0.42331366,0.811655212,0.333984464,0.557729101,-0.243881185,1.400495817,0.181350601,0.840119301,-0.192337976,-0.211261164,-0.182220322,-0.634567614,-0.180928177,-1.464908223,-0.628655596,-0.098764147,-0.145382347,0.216341054,15493.04,0
-0.969198295,-2.827526454,1.226430511,0.035208368,1.959439485,-0.62695015,0.004370349,-0.115715884,1.372241713,0.756129259,-0.13968832,1.458654193,-0.195908117,0.476479735,-0.594371143,0.795539551,0.231984747,0.366888056,-0.572950411,-2.586351258,-0.310582259,0.919195843,2.745323618,0.11780446,-0.84473692,-1.570235691,0.244188431,2.17839141,15927.38,0
1.245429798,-0.825264166,0.718642782,-1.450895783,-0.234676441,0.044769828,0.119990452,-0.16445264,-0.455401841,1.507006158,-0.071100875,0.287253221,-0.350115477,0.730100262,-0.091672138,0.369550252,0.547527981,0.732278274,-0.167732489,-0.567572589,-0.175199376,-0.201882846,0.016822345,0.627901145,0.466895708,-0.512113132,-0.212259814,-0.081732296,2943.42,0
0.608594924,-0.958162625,1.105914644,-0.278201266,-0.135043114,1.174673542,0.172057506,-0.049052148,0.244392028,0.868997842,-0.095758104,1.839488922,0.504477846,0.521790252,-0.868016961,-0.352991254,0.629114817,0.792814393,-1.410530506,-0.305632753,-0.223727231,-0.548897751,-0.075119252,-0.515753853,0.033400771,-1.029816019,-0.137284886,0.053353478,940.72,0
0.802894524,-0.335872966,0.401030993,0.153037626,0.778777581,1.368012038,0.470729727,-0.030872678,-0.118307357,0.952325897,0.168817994,0.915853008,-0.884671325,1.388161268,0.800746734,0.155443466,0.584733942,-0.518946959,-2.129012273,-0.442417297,-0.045881173,0.337670455,-0.072733763,-2.174566895,0.564637557,0.456333968,-0.219078441,-0.135445674,20114.14,0
0.964356085,-0.280624042,0.445898652,0.199635131,0.434008019,0.526906556,0.519593648,-0.120961878,-0.025030845,1.063112616,-0.216833992,0.331911545,-2.095462754,1.512120844,-0.041057041,0.758509793,0.30402781,0.253377682,-0.949756325,-0.48222971,-0.095700941,-0.099752877,-0.128189185,-0.629825298,0.927646421,0.258482261,-0.283666697,-0.127734496,23752.06,0
0.330151791,-0.352302489,1.225774922,-0.670625621,-0.169449178,0.389188407,0.154344493,-0.492254975,1.628422502,0.294222134,-1.011275471,1.017737836,-0.387499352,0.746594412,1.925821488,-0.150792165,0.740099008,0.635738391,1.484245522,-0.402218622,0.516469037,0.14399708,-0.20913951,0.897616929,1.305701237,-0.530140306,0.172070681,0.504163424,9493.6,0
-0.400808102,-0.460026153,0.30921904,-1.180646205,1.885939926,1.97166861,0.411704887,0.05019639,0.525159202,0.871730271,-0.657310431,0.488909343,0.121719741,0.720082707,1.42650683,0.881622336,0.170008154,0.345867082,0.193248494,-0.387292187,-0.342651427,-0.741124996,0.901719026,2.180526728,0.447155184,0.348212864,0.677287356,-0.064812735,12142.95,0
-0.428662013,-0.486576885,1.335369662,-0.445397447,0.374992177,-0.104684648,0.63861974,-0.175984143,0.80356235,0.664017711,-1.231270573,0.508367658,-0.594976581,0.563240756,-0.272542339,0.282101046,0.444203,0.030756159,0.207159401,-0.566282629,-0.268654159,-0.248598289,0.760981263,0.844933134,0.326500411,0.613008566,0.202285684,0.486726865,6152.06,0
0.96981977,-0.327821707,0.620580817,-0.16884718,0.188500068,-0.07723298,0.568530946,-0.225048737,0.352322941,0.578895779,-0.697334906,1.468731798,1.58661533,0.758006792,0.864835318,0.456716451,0.288345833,0.119669709,-0.55858653,-0.134504823,-0.076414035,0.169936398,-0.174607936,0.923435586,1.138395688,-0.807537984,-0.219081042,-0.027484981,12276.67,0
1.095336592,-0.505013419,0.706600603,-0.377970537,-0.031331008,-0.023857973,0.346770808,-0.201777645,-0.063383091,1.032537104,-1.056683134,0.547978759,0.444595523,0.799295584,0.891190015,-0.136809534,0.372485174,1.404626588,-1.352772276,-0.711488579,-0.219092254,-0.333443419,-0.061866558,0.735650688,0.852656489,-0.662075128,-0.189088126,-0.03043106,13658.07,0
0.029627098,-0.156969238,1.686544537,-0.051447908,0.256392797,0.359752273,0.72126751,-0.159080036,0.168198531,0.461109993,-0.614175435,1.266343703,0.722861137,0.656476758,0.041167322,-0.153846554,0.736858017,-0.191307985,0.238081994,-0.063884634,-0.07234093,0.391042024,-0.062661956,1.382419098,-0.379040952,-0.655254025,-0.021581571,0.268531677,23323.5,0
0.878131683,-0.505463944,1.289971537,-0.150264339,-0.015832845,0.795321326,0.201787964,-0.059547393,0.962690007,0.57117738,-0.083407284,1.497604182,-0.478538792,0.680452704,-0.279922543,0.468260199,0.379545568,0.344741726,-0.457312136,-0.346909324,-0.097713808,0.156576389,-0.009133156,0.042587121,0.402533641,-0.958306689,-0.143296955,-0.041554728,11920.94,0
1.022980408,-0.423938077,0.67501341,-0.305697786,0.122292765,0.184073356,0.435254674,-0.182498075,0.77815462,0.513927724,-1.292665267,1.019672018,0.431587804,0.623416664,-0.27960966,0.355875252,0.403254091,-0.043886645,0.078638823,-0.231167743,-0.203127144,-0.513715547,-0.068465768,0.189860786,0.766053681,0.642996819,-0.263604911,-0.071494476,20901.22,0
0.921667748,-0.415696525,0.74210988,-0.09823488,0.142936642,0.469865098,0.393308047,-0.109295241,0.623019773,0.63396439,-0.047779551,1.110653115,-1.459803625,1.027570342,-0.73972785,0.188382522,0.49461441,0.078865282,-0.340622145,-0.447156309,-0.124625726,-0.047436061,-0.055579733,0.426812205,0.861883282,-0.809177724,-0.204464661,-0.089348732,8010.4,0
-0.012136524,-0.166435813,1.356103611,-0.559351965,0.42744669,0.532976993,0.708787159,-0.112199084,0.330178931,0.41085352,-0.159349888,1.332665083,-0.509111722,0.757752676,-1.517353531,0.306951089,0.344833513,0.075869992,-0.956099196,-0.464520086,-0.084408932,0.151241732,-0.209333065,0.038925409,0.077374209,-1.381404227,-0.320189388,-0.043762458,13578.11,0
-0.012136524,-0.166435813,1.356103611,-0.559351965,0.42744669,0.532976993,0.708787159,-0.112199084,0.330178931,0.41085352,-0.159349888,1.332665083,-0.509111722,0.757752676,-1.517353531,0.306951089,0.344833513,0.075869992,-0.956099196,-0.464520086,-0.084408932,0.151241732,-0.209333065,0.038925409,0.077374209,-1.381404227,-0.320189388,-0.043762458,14494.3,0
